11/06/2025 09:23:59.069 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/token/test params=None data=******** json=None
11/06/2025 09:23:59.248 | DEBUG | berserk.session | session.request | stream GET https://lichess.org/api/stream/event params=None data=None json=None
11/06/2025 09:40:41.246 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/challenge/ai params=None data=None json={'level': 2, 'clock.limit': 1800, 'clock.increment': 20, 'days': None, 'color': 'black', 'variant': 'standard', 'fen': None}
11/06/2025 09:40:41.314 | DEBUG | berserk.session | session.request | stream GET https://lichess.org/api/board/game/stream/IPs4mUE1 params=None data=None json=None
11/06/2025 09:41:03.462 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/d7d6 params=None data=None json=None
11/06/2025 09:41:18.939 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/g8f6 params=None data=None json=None
11/06/2025 09:41:50.815 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/e7e5 params=None data=None json=None
11/06/2025 09:42:11.311 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/h7h6 params=None data=None json=None
11/06/2025 09:42:42.556 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/b8c6 params=None data=None json=None
11/06/2025 09:43:39.621 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/c6d4 params=None data=None json=None
11/06/2025 09:43:48.904 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/e5d4 params=None data=None json=None
11/06/2025 09:44:24.716 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/d8e7 params=None data=None json=None
11/06/2025 09:44:51.696 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/c7c5 params=None data=None json=None
11/06/2025 09:45:11.874 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/f6g4 params=None data=None json=None
11/06/2025 09:46:09.046 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/e7g5 params=None data=None json=None
11/06/2025 09:46:45.248 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/g5h5 params=None data=None json=None
11/06/2025 09:47:38.588 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/g7g6 params=None data=None json=None
11/06/2025 09:47:53.203 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/c8g4 params=None data=None json=None
11/06/2025 09:48:26.723 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/g6g5 params=None data=None json=None
11/06/2025 09:48:53.999 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/e8e7 params=None data=None json=None
11/06/2025 09:49:16.414 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/f8g7 params=None data=None json=None
11/06/2025 09:49:31.654 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/g7e5 params=None data=None json=None
11/06/2025 09:50:33.342 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/h8f8 params=None data=None json=None
11/06/2025 09:51:11.393 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/f7f5 params=None data=None json=None
11/06/2025 09:51:36.665 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/f5e4 params=None data=None json=None
11/06/2025 09:52:53.896 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/e7d8 params=None data=None json=None
11/06/2025 09:53:23.221 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/f8f1 params=None data=None json=None
11/06/2025 09:53:59.394 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/f1f3 params=None data=None json=None
11/06/2025 09:54:53.434 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/d6e5 params=None data=None json=None
11/06/2025 09:55:39.707 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/g5h4 params=None data=None json=None
11/06/2025 09:55:52.080 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/f3g3 params=None data=None json=None
11/06/2025 09:56:15.711 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/h5f5 params=None data=None json=None
11/06/2025 09:56:56.305 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/f5f2 params=None data=None json=None
11/06/2025 09:57:08.831 | DEBUG | berserk.session | session.request | request POST https://lichess.org/api/board/game/IPs4mUE1/move/f2g2 params=None data=None json=None
