11/06/2025 09:23:59.065 | INFO  | cli-chess | main_model._start_loggers | cli-chess v1.4.3 // python 3.13.7
11/06/2025 09:23:59.065 | INFO  | cli-chess | main_model._start_loggers | System information: system=Linux // release=6.17.6-arch1-1 // machine=x86_64
11/06/2025 09:23:59.066 | DEBUG | cli-chess | argparse.parse_args | Parsed arguments: Namespace(token=None, reset_config=False, base_url='https://lichess.org', print_config=False)
11/06/2025 09:23:59.066 | DEBUG | cli-chess | token_manager_model.set_base_url | Base URL set to: https://lichess.org
11/06/2025 09:23:59.247 | INFO  | cli-chess | token_manager_model.validate_token | Successfully authenticated with Lichess
11/06/2025 09:23:59.248 | INFO  | cli-chess | incoming_event_manger.run | Started listening to Lichess incoming events
11/06/2025 09:23:59.804 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.ONLINE_GAMES
11/06/2025 09:24:19.845 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.SETTINGS
11/06/2025 09:24:20.338 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.ONLINE_GAMES
11/06/2025 09:24:20.835 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: OnlineGamesMenuOptions.VS_COMPUTER_ONLINE
11/06/2025 09:24:21.705 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.TIME_CONTROL
11/06/2025 09:24:22.390 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COMPUTER_SKILL_LEVEL
11/06/2025 09:24:24.098 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COMPUTER_SKILL_LEVEL
11/06/2025 09:24:25.550 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.TIME_CONTROL
11/06/2025 09:24:26.467 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.VARIANT
11/06/2025 09:24:26.857 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.TIME_CONTROL
11/06/2025 09:24:27.003 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COMPUTER_SKILL_LEVEL
11/06/2025 09:24:27.192 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COLOR
11/06/2025 09:24:27.797 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COLOR
11/06/2025 09:24:29.078 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COLOR
11/06/2025 09:24:29.326 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COLOR
11/06/2025 09:24:29.766 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.COMPUTER_SKILL_LEVEL
11/06/2025 09:24:29.975 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.TIME_CONTROL
11/06/2025 09:24:30.143 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.VARIANT
11/06/2025 09:24:33.388 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.TIME_CONTROL
11/06/2025 09:24:34.295 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.TIME_CONTROL
11/06/2025 09:24:34.665 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.TIME_CONTROL
11/06/2025 09:24:35.176 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.TIME_CONTROL
11/06/2025 09:24:35.465 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.TIME_CONTROL
11/06/2025 09:24:35.775 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.TIME_CONTROL
11/06/2025 09:24:36.146 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.TIME_CONTROL
11/06/2025 09:24:36.474 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: GameOption.TIME_CONTROL
